char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
椅	12	2245		junior high	tree 木	一 亅 口 大 木	chair		イ		{椅子:イス} chair, stool, post, office, position<br/>{倚子:イシ} traditional square chair with armrests and a torii-shaped back (used by the emperor, etc. during ceremonies)	{椅:い}{子:す}<br/>{椅:い}{子:す}{席:せき}<br/>{椅:い}{子:す}{取:と}りゲーム
惟	11	2246	N1		heart 心 (忄, ⺗)	忙 隹	consider, reflect, think	おも.んみる, これ, おも.うに	イ, ユイ	{思い見る:おもいみる} to reflect carefully<br/>{此れ:これ} this (indicating an item near the speaker, the action of the speaker, or the current topic), this person (usu. indicating someone in one's in-group), now, here, I (me), certainly<br/>{思うに:おもうに} presumably, conceivably, in my opinion, in my view, I think (that), upon thought, upon reflection	{惟神:カンナガラ} as a god, as was done in the age of the gods<br/>{思惟:シイ} thought, thinking, contemplation, consideration, using wisdom to get to the bottom of things, focusing one's mind, deep contemplation, concentrated thought, deliberating, pondering, reflecting<br/>{思惟:シイ} thought, thinking, contemplation, consideration, using wisdom to get to the bottom of things, focusing one's mind, deep contemplation, concentrated thought, deliberating, pondering, reflecting	{惟神:かんながら}<br/>{惟:かんながらのみち}
牌	12	2247			slice 片	十 片 田	label, signboard, medal, mahjong tiles	ぱい, ふだ	ハイ	{牌:パイ} tile<br/>{牌九:パイガオ} pai gow (Chinese gambling game)<br/>{花牌:ファパイ} flower tiles<br/>{配牌:はいパイ} dealt tiles	{牌:ハイ} medal, shield, badge, card on which dharani (etc.) are written, notice board (in a Zen temple), tile (mahjong, dominos, etc.)<br/>{牌姿:ハイシ} tiles in one's hand<br/>{賞牌:ショウハイ} medal<br/>{位牌:イハイ} Buddhist mortuary tablet	{牌:パイ}<br/>{牌:はい}<br/>{牌:はい}{姿:し}<br/>{牌:はい}{譜:ふ}<br/>{牌:はい}{山:やま}<br/>{牌九:パイガオ}
宕	8	2248			roof 宀	口 宀 石	cave	すぎる	トウ			
喧	12	2249			mouth, opening 口	一 口 宀 日	noisy, boisterous	やかま.しい, かまびす.しい	ケン	{喧しい:やかましい} noisy, loud, clamorous, boisterous, much talked of, much-discussed, vexed, strict, severe, stern, particular, fussy, fastidious, fault-finding, carping<br/>{姦しい:かしましい} noisy, boisterous	{喧嘩:ケンカ} quarrel, brawl, fight, squabble, scuffle, argument<br/>{喧騒:ケンソウ} tumult, great noise, clatter, hustle and bustle	{喧:けん}{嘩:か}<br/>{喧:やかま}しい<br/>{喧:けん}{騒:そう}<br/>{喧:けん}{嘩:か}{腰:ごし}<br/>{喧:けん}{嘩:か}{早:ばや}い<br/>{喧:けん}{嘩:か}{別:わか}れ<br/>{喧:けん}{嘩:か}{両:りょう}{成:せい}{敗:ばい}<br/>{喧:けん}{嘩:か}っ{早:ぱや}い<br/>{喧:けん}{々:けん}{諤:がく}{々:がく}<br/>{喧:けん}{然:ぜん}<br/>{喧:けん}{々:けん}{囂:ごう}{々:ごう}<br/>{喧:けん}{伝:でん}<br/>{喧:けん}{嘩:か}{沙:ざ}{汰:た}<br/>{喧:けん}{嘩:か}をふっかける<br/>{喧:けん}{嘩:か}を{売:う}る<br/>{喧:けん}{嘩:か}を{買:か}う<br/>{喧:けん}{嘩:か}が{強:つよ}い<br/>{喧嘩番長3 全国制覇:}
佑	7	2250	N1		man, human 人 (亻)	一 ノ 化 口	help, assist	たす.ける	ユウ, ウ	{助ける:たすける} to save, to rescue, to help, to assist, to support (financially), to contribute (to), to provide aid, to facilitate, to stimulate, to promote, to contribute to	{佑助:ユウジョ} assistance<br/>{神祐:シンユウ} heavenly protection, divine help<br/>{天佑:テンユウ} divine aid, divine grace, providential help<br/>{神祐:シンユウ} heavenly protection, divine help<br/>{天佑:テンユウ} divine aid, divine grace, providential help	{佑:ゆう}{助:じょ}
蒋	13	2251			grass 艸 (艹)	寸 艾 爪 爿	reed	まこも, はげ.ます	ショウ, ソウ			
樟	15	2252			tree 木	十 日 木 立 音	camphor	くす	ショウ	{樟:くすのき} camphor tree (Cinnamomum camphora), camphorwood, camphor laurel<br/>{クスノキ科:クスノキか} Lauraceae, laurel family of plants	{樟脳:ショウノウ} camphor<br/>{樟脳チンキ:ショウノウチンキ} tincture of camphor	{樟:くすのき}<br/>{樟:しょう}{脳:のう}<br/>{樟:しょう}{脳:のう}チンキ
耀	20	2253	N1		small, insignificant 小	儿 尚 ヨ 隹	shine, sparkle, gleam, twinkle	かがや.く, ひかり	ヨウ	{輝く:かがやく} to shine, to glitter, to sparkle	{栄耀:エイヨウ} luxury, splendour, splendor, prosperity<br/>{光耀:コウヨウ} shining, glittering	{耀:かがよ}う
黛	16	2254	N1		black 黑	化 弋 杰 里 黒	blackened eyebrows	まゆずみ	タイ	{眉墨:まゆずみ} eyebrow pencil, blackened eyebrows, (metaphorically) distant mountain range	{黛青:タイセイ} blackish blue<br/>{翠黛:スイタイ} green eyebrow pencil, green-shaded eyebrows, hazy green (distant mountains)<br/>{青黛:セイタイ} blue eyebrow pencil, blue eyebrows, deep blue, dark blue	{黛:たい}{青:せい}
叱	5	2255		junior high	mouth, opening 口	匕 口	scold, reprove	しか.る	シツ, シチ	{叱る:しかる} to scold, to chide, to rebuke, to reprimand	{叱罵:シツバ} angry scolding, abusive criticism	{叱:しか}り<br/>{叱:しか}る<br/>{叱:しか}り{付:つ}ける<br/>{叱:しっ}{責:せき}<br/>{叱:しっ}{咤:た}<br/>{叱:しっ}{咤:た}{激:げき}{励:れい}<br/>{叱:しっ}{正:せい}<br/>{叱:しか}り{飛:と}ばす<br/>{叱:しっ}{声:せい}<br/>{叱:しつ}{罵:ば}
櫛	17	2256			tree 木	卩 木 竹 艮 乞	comb	くし, くしけず.る	シツ	{櫛:くし} comb<br/>{櫛板:くしいた} pecten, comb plate, comb plate (of an escalator, etc.)	{櫛鱗:シツリン} ctenoid scale	{櫛:くし}<br/>{櫛:くし}{目:め}<br/>{櫛:くし}{箱:ばこ}<br/>{櫛水母:くしくらげ}<br/>{櫛:くし}{笥:げ}<br/>{櫛:しっ}{風:ぷう}{沐:もく}{雨:う}<br/>{櫛:しつ}{鱗:りん}<br/>{櫛:しっ}{風:ぷう}{浴:よく}{雨:う}<br/>{櫛:しっ}{比:ぴ}<br/>{櫛:くし}の{歯:は}が{欠:か}けたよう<br/>{櫛:くし}{板:いた}<br/>{櫛:くし}の{歯:は}が{抜:ぬ}けたよう<br/>{櫛目文土器文化 (ヨーロッパ):}
渥	12	2257	N1		water 水 (氵, 氺)	厶 土 尸 汁 至	kindness, moisten	あつ.い, うるお.う	アク		{渥然:アクゼン} glossy<br/>{渥地:アクチ} marshland<br/>{優渥:ユウアク} gracious	{渥:あく}{地:ち}<br/>{渥:あく}{然:ぜん}
挨	10	2258		junior high	hand 手 (扌龵)	厶 扎 矢 乞	approach, draw near, push open	ひら.く	アイ		{挨拶:アイサツ} greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody, polite set phrase used to express apology, sympathy, congratulations, etc., speech (congratulatory or appreciative), address, reply, response, revenge, retaliation, a fine thing to say, dialoging (with another Zen practitioner to ascertain their level of enlightenment), relationship (between people), connection, intervention, mediation, mediator<br/>{挨拶代わり:アイサツガワリ} substitute for a proper greeting (e.g. gift)	{挨:あい}{拶:さつ}<br/>{挨:あい}{拶:さつ}を{交:か}わす<br/>{挨:あい}{拶:さつ}{文:ぶん}<br/>{挨:あい}{拶:さつ}{状:じょう}<br/>{挨:あい}{拶:さつ}{語:ご}<br/>{挨:あい}{拶:さつ}{回:まわ}り<br/>{挨:あい}{拶:さつ}{代:が}わり<br/>{挨:あい}{拶:さつ}は{時:とき}の{氏:うじ}{神:がみ}<br/>{挨:あい}{拶:さつ}は{抜:ぬ}きで<br/>{挨:あい}{拶:さつ}より{円:えん}{札:さつ}
憧	15	2259	N1	junior high	heart 心 (忄, ⺗)	忙 立 里	yearn after, long for, aspire to, admire, adore	あこが.れる	ショウ, トウ, ドウ	{憧れる:あこがれる} to long for, to yearn after, to admire, to be attracted by	{憧憬:ドウケイ} longing, yearning, aspiration, adoration<br/>{憧憬:ドウケイ} longing, yearning, aspiration, adoration	{憧:あこが}れる<br/>{憧:あこが}れ<br/>{憧:あこが}れの{的:まと}<br/>{憧:どう}{憬:けい}<br/>{憧れのハワイ航路:}
濡	17	2260			water 水 (氵, 氺)	汁 而 雨	get wet, damp, make love	ぬれ.る, ぬら.す, ぬ.れる, ぬ.らす, うるお.い, うるお.う, うるお.す	ジュ, ニュ		Kun reading compounds<br/>{濡れる:ぬれる} to get wet<br/>{濡らす:ぬらす} to wet, to moisten, to dampen, to soak, to dip<br/>{濡れる:ぬれる} to get wet<br/>{濡らす:ぬらす} to wet, to moisten, to dampen, to soak, to dip	{濡:ぬ}れる<br/>{濡:ぬ}らす<br/>{濡:ぬ}れ{雑:ぞう}{巾:きん}<br/>{濡:ぬ}れ{衣:ぎぬ}を{着:き}せる<br/>{濡:ぬ}れ{手:て}に{粟:あわ}<br/>{濡:ぬ}れ{場:ば}<br/>{濡:ぬ}れ{手:て}<br/>{濡:ぬ}れ{縁:えん}<br/>{濡:ぬ}れ{手:て}で{粟:あわ}<br/>{濡:ぬ}れ{透:す}け<br/>{濡:ぬ}れ{落:お}ち{葉:ば}<br/>{濡:ぬ}れ{羽:ば}{色:いろ}<br/>{濡:ぬ}れ{性:せい}<br/>{濡:ぬ}れそぼつ<br/>{濡:ぬ}れ{事:ごと}<br/>{濡:ぬ}れ{髪:がみ}<br/>{濡:ぬ}れ{衣:ぎぬ}<br/>{濡:ぬ}れ{事:ごと}{師:し}<br/>{濡:ぬ}れ{色:いろ}<br/>{濡:ぬ}れ{仏:ぼとけ}
槍	14	2261			tree 木	一 个 口 木	spear, lance, javelin	やり	ソウ, ショウ	{槍:やり} spear, lance, javelin, lance, jeering<br/>{槍烏賊:やりいか} spear squid (Loligo bleekeri)<br/>{長槍:ながやり} long spear, pike<br/>{竹槍:たけやり} bamboo spear	{槍騎兵:ソウキヘイ} lancer<br/>{槍術:ソウジュツ} spearmanship<br/>{聖槍:セイソウ} holy lance, sacred spear<br/>{弓馬刀槍:キュウバトウソウ} archery, horsemanship, spearsmanship, and swordsmanship, martial arts in general	{槍:やり}<br/>{槍:そう}{術:じゅつ}<br/>{槍:そう}{騎:き}{兵:へい}<br/>{槍:やり}{鱮:たなご}<br/>{槍:やり}の{柄:え}<br/>{槍:やり}{衾:ぶすま}<br/>{槍:やり}{先:さき}<br/>{槍:そう}{術:じゅつ}{家:か}<br/>{槍:やり}{投:な}げ<br/>{槍:やり}の{穂:ほ}{先:さき}<br/>{槍:やり}{持:も}ち<br/>{槍:やり}{玉:だま}<br/>{槍烏賊:やりいか}<br/>{槍:やり}{玉:だま}に{上:あ}がる<br/>{槍:やり}{使:つか}い<br/>{槍:やり}{玉:だま}に{挙:あ}げる<br/>{槍:やり}が{降:ふ}っても<br/>{槍:やり}を{振:ふ}るう
宵	10	2262	N1	junior high	roof 宀	宀 尚 月	wee hours, evening, early night	よい	ショウ	{宵:よい} evening, early night hours<br/>{宵越し:よいごし} (kept) overnight<br/>{待宵:まつよい} night where one waits for someone who is supposed to come, night of the 14th day of the eight month of the lunar calendar<br/>{春の宵:はるのよい} spring evening	{終宵:シュウショウ} all-night long<br/>{一宵:イッショウ} one evening, one night	{宵:よい}<br/>{宵:よい}っぱり<br/>{宵:よい}の{明:みょう}{星:じょう}<br/>{宵:よい}{闇:やみ}<br/>{宵:よい}の{口:くち}<br/>{宵:よい}{待:まち}{草:ぐさ}<br/>{宵:よい}{月:づき}<br/>{宵:よい}{祭:まつ}り<br/>{宵:よい}{積:づ}み<br/>{宵:よい}{寝:ね}<br/>{宵:よい}{越:ご}し<br/>{宵:よい}{山:やま}<br/>{宵:よい}{越:ご}しの{銭:ぜに}は{持:も}たない<br/>{宵月 (駆逐艦):}
襄	17	2263			clothes 衣 (衤)	一 ｜ 亠 ハ 井 衣	rise, raise	はら.う	ジョウ, ショウ			{襄陽・樊城の戦い:}
妄	6	2264	N1	junior high	woman, female 女	亠 女 亡	delusion, unnecessarily, without authority, reckless	みだ.りに	モウ, ボウ	{妄りに:みだりに} without authority, without reason, unnecessarily, recklessly, indiscriminately, arbitrarily	{妄信:ボウシン} blind acceptance, blind belief, credulity<br/>{妄言:ボウゲン} reckless remark, rash remark, abusive language, thoughtless words<br/>{迷妄:メイモウ} illusion, fallacy, delusion<br/>{謬妄:ビュウモウ} fallacy, conjecture, baseless thing, random thing<br/>{妄信:ボウシン} blind acceptance, blind belief, credulity<br/>{妄言:ボウゲン} reckless remark, rash remark, abusive language, thoughtless words<br/>{誣謗:フボウ} slander<br/>{虚妄:キョモウ} falsehood, untruth, lie	{妄:もう}{想:そう}<br/>{妄:ぼう}{言:げん}<br/>{妄:ぼう}{信:しん}<br/>{妄:ぼう}{挙:きょ}<br/>{妄:もう}{心:しん}<br/>{妄:もう}{念:ねん}<br/>{妄:ぼう}{評:ひょう}<br/>{妄:ぼう}{説:せつ}<br/>{妄:もう}{執:しゅう}<br/>{妄:もう}{想:そう}{癖:へき}<br/>{妄:ぼう}{弁:べん}<br/>{妄:もう}{断:だん}<br/>{妄:もう}{語:ご}<br/>{妄:ぼう}{用:よう}<br/>{妄:もう}{想:そう}{症:しょう}<br/>{妄:もう}{語:ご}{戒:かい}<br/>{妄:もう}{言:げん}{多:た}{謝:しゃ}<br/>{妄:もう}{動:どう}
惇	11	2265	N1		heart 心 (忄, ⺗)	亠 口 子 忙	sincere, kind, considerate	あつ.い	シュン, ジュン, トン		{敦厚:トンコウ} sincerity and kindheartedness, honesty and simplicity<br/>{敦朴:トンボク} honest and homely, simple	
蛋	11	2266			bolt of cloth 疋 (⺪)	疋 虫	barbarian, egg		タン		{タンパク質:タンパクシツ} protein<br/>{蛋白:タンパク} protein, egg white, albumen, albumin<br/>{皮蛋:ピータン} century egg, thousand-year old egg, hundred-year old egg, preserved egg (Chinese delicacy)	{蛋:たん}{白:ぱく}<br/>{蛋:たん}{白:ぱく}{石:せき}<br/>{蛋:たん}{民:みん}<br/>{蛋:たん}{白:ぱく}{同:どう}{化:か}ステロイド<br/>{蛋:たん}{白:ぱく}{加:か}{水:すい}{分:ぶん}{解:かい}{物:ぶつ}<br/>{蛋黄:らんこう}<br/>{蛋白質構造データバンク:}
脩	11	2267	N1		meat 肉 (⺼)	｜ 化 攵 月 乞	dried meat	おさ.める, なが.い, ほじし	シュウ		{脩竹:シュウチク} tall bamboo<br/>{束脩:ソクシュウ} entrance fee, initiation fee, registration fee, present to a teacher, gift of dried meat from a new vassal or pupil	{脩:しゅう}{竹:ちく}
笘	11	2268			bamboo 竹 (⺮)	卜 口 竹 乞	whip, cane, wooden writing slate		セン, チョウ			
宍	7	2269			roof 宀	亠 ハ 宀	muscles, meat	しし	ニク, ジク	{肉:にく} flesh, meat, the physical body (as opposed to the spirit), thickness, ink pad<br/>{膂宍:そしし} meat, flesh, or muscles along the spine	{肉:ニク} flesh, meat, the physical body (as opposed to the spirit), thickness, ink pad	
甫	7	2270	N1		use 用 (甩)	丶 十 用	for the first time, not until	はじ.めて	ホ, フ	{初めて:はじめて} for the first time, only after ... is it ..., only when ... do you ...	{台甫:タイホ} your personal name<br/>{尼甫:ジホ} Confucius	
酌	10	2271	N1	junior high	wine, alcohol 酉	丶 勹 酉	bar-tending, serving sake, the host, draw (water), ladle, scoop, pump	く.む	シャク	{酌む:くむ} to pour (sake), to serve, to drink together	{酌:シャク} pouring alcohol, person pouring alcohol<br/>{酌婦:シャクフ} barmaid, waitress<br/>{晩酌:バンシャク} drink at home with the evening meal, dinner-time drink<br/>{媒酌:バイシャク} matchmaking	{酌:しゃく}<br/>{酌:く}み{交:か}わす<br/>{酌:しゃく}{量:りょう}<br/>{酌:く}む<br/>{酌:しゃく}{量:りょう}{減:げん}{軽:けい}<br/>{酌:しゃく}{婦:ふ}
蚕	10	2272	N1	grade 6	insect 虫	一 二 大 虫	silkworm	かいこ, こ	サン, テン	{蚕:かいこ} silkworm (Bombyx mori)<br/>{蚕蛾:かいこが} silkworm moth, silk moth (Bombyx mori)<br/>{三眠蚕:さんみんかいこ} three-molt silkworm<br/>{蚕糞:こくそ} silkworm droppings<br/>{蚕玉:こだま} guardian deity of silkworms<br/>{三眠蚕:さんみんかいこ} three-molt silkworm<br/>{桑蚕:くわこ} wild silkworm moth (Bombyx mandarina)	{蚕糸:サンシ} silk thread, silk yarn<br/>{蚕業:サンギョウ} sericulture<br/>{養蚕:ヨウサン} sericulture, silkworm culture, silkworm raising<br/>{秋蚕:シュウサン} autumn silkworms, fall silkworms	{蚕:かいこ}<br/>{蚕:さん}{糸:し}<br/>{蚕:こ}{糞:くそ}<br/>{蚕:さん}{糸:し}{業:ぎょう}<br/>{蚕:さん}{児:じ}<br/>{蚕:さん}{卵:らん}<br/>{蚕:さん}{卵:らん}{紙:し}<br/>{蚕:さん}{食:しょく}<br/>{蚕:さん}{座:ざ}<br/>{蚕:かいこ}{蛾:が}<br/>{蚕:さん}{室:しつ}<br/>{蚕:さん}{種:しゅ}<br/>{蚕:さん}{糸:し}{試:し}{験:けん}{所:じょ}<br/>{蚕:さん}{紙:し}<br/>{蚕:さん}{業:ぎょう}<br/>{蚕:さん}{具:ぐ}<br/>{蚕:さん}{繭:けん}<br/>{蚕:かいこ}{棚:だな}
壕	17	2273			earth 土	亠 冖 口 土 豕	trench, dugout, air raid shelter	ほり	コウ, ゴウ	{堀:ほり} moat, fosse, canal, ditch<br/>{壕跡:ごうあと} remains of a dugout (usu. military)	{壕:ゴウ} moat, fosse, trench, ditch, underground air-raid shelter, dugout<br/>{壕跡:ゴウアト} remains of a dugout (usu. military)<br/>{防空壕:ボウクウゴウ} air-raid shelter, bomb shelter<br/>{水濠:スイゴウ} water jump (on a racetrack, etc.), moat (around a castle, etc.)	{壕:ごう}<br/>{壕:ごう}{跡:あと}
嬉	15	2274	N1		woman, female 女	并 口 士 女 豆	glad, pleased, rejoice	うれ.しい, たの.しむ	キ	{嬉しい:うれしい} happy, glad, pleased, delighted, overjoyed, joyful, delightful, gratifying, pleasant<br/>{嬉しいことに:うれしいことに} to one's delight, to one's joy	嬉々 【キキ】 merry, joyful, gleeful<br/>{嬉戯:キギ} frisking, frolicing<br/>嬉々 【キキ】 merry, joyful, gleeful	{嬉:うれ}しい<br/>{嬉:うれ}し{泣:な}き<br/>{嬉:うれ}しがる<br/>{嬉:うれ}しそう<br/>{嬉:うれ}しがらせ<br/>{嬉:うれ}し{涙:なみだ}<br/>{嬉:き}{々:き}<br/>{嬉:き}{戯:ぎ}<br/>{嬉:き}{笑:しょう}<br/>{嬉:き}{遊:ゆう}{曲:きょく}<br/>{嬉:うれ}しげ<br/>{嬉:うれ}ション<br/>{嬉:うれ}しいことに<br/>{嬉野町 (三重県):}
囃	21	2275			mouth, opening 口	亠 人 口 木 隹	play (music), accompany, beat time, banter, jeer, applaud	はや.す, はやし	サツ, ソウ		Kun reading compounds<br/>{囃す:はやす} to play accompaniment, to keep time, to cheer, to applaud, to jeer, to mock, to banter<br/>{囃子:はやし} accompaniment for traditional performances (noh, kabuki, etc.), orchestra, band<br/>{囃子方:はやしかた} (noh) musician, orchestra leader	{囃子:はやし}<br/>{囃子方:はやしかた}<br/>{囃:はや}す
蒼	13	2276	N1		grass 艸 (艹)	一 ノ 个 口 艾	blue, pale	あお.い	ソウ	{青い:あおい} blue, azure, green, pale, gray, grey, unripe, inexperienced	{蒼鉛:ソウエン} bismuth<br/>{蒼海:ソウカイ} blue waters<br/>{鬱蒼:ウッソウ} thick, dense, luxuriant	{蒼:そう}{波:は}<br/>{蒼:そう}{海:かい}<br/>{蒼:そう}{古:こ}<br/>{蒼:そう}{穹:きゅう}<br/>{蒼:そう}{白:はく}{色:しょく}<br/>{蒼:そう}{氓:ぼう}<br/>{蒼:そう}{然:ぜん}<br/>{蒼:そう}{生:せい}<br/>{蒼:そう}{浪:ろう}<br/>{蒼:そう}{白:はく}<br/>{蒼:そう}{竜:りょう}<br/>{蒼:そう}{空:くう}<br/>{蒼:そう}{梧:ご}<br/>{蒼:そう}{天:てん}
餌	14	2277		junior high	eat, food 食 (飠)	耳 艮 食	food, bait, prey, tempting profit	え, えば, えさ, もち	ジ, ニ	{餌:えさ} (animal) feed, fodder, pet food, bait, lure, enticement<br/>{餌場:えさば} feeding ground<br/>{撒き餌:まきえ} scattered animal feed, ground bait<br/>{擂り餌:すりえ} ground food<br/>{餌:えさ} (animal) feed, fodder, pet food, bait, lure, enticement<br/>{餌場:えさば} feeding ground<br/>{釣り餌:つりえ} bait (for fishing)<br/>{練り餌:ねりえ} paste bird feed, paste fishing bait	{好餌:コウジ} bait, decoy, lure, easy prey, easy victim, sucker<br/>{給餌:キュウジ} feeding (an animal)	{餌:えさ}<br/>{餌:え}{食:じき}<br/>{餌:え}{付:づ}け<br/>{餌:えさ}やり<br/>{餌:えさ}{場:ば}<br/>{餌:えさ}{箱:ばこ}<br/>{餌:え}{付:づ}く<br/>{餌:え}{袋:ぶくろ}
簗	17	2278			bamboo 竹 (⺮)	丶 刀 汁 木 竹 乞	weir, fish trap, (kokuji)	やな	リョウ		Kun reading compounds<br/>{梁:やな} (fish) weir, fish trap	
峙	9	2279			mountain 山	土 寸 山	tower, soar	そばだ.つ	ジ	{峙つ:そばだつ} to tower, to rise, to soar	{対峙:タイジ} confrontation, standing facing each other (e.g. mountains, buildings), squaring off against (adversaries, armies, forces), standing off against, holding one's own with	{峙:そばだ}つ
粥	12	2280			bow 弓	弓 米	rice gruel	かゆ, かい, ひさ.ぐ	イク, シュク, ジュク	{粥:かゆ} thin rice porridge, watery cooked rice, rice gruel, congee<br/>{粥占:かゆうら} rice porridge divination, harvest divination carried out during Koshogatsu<br/>{白粥:しらがゆ} unflavored rice porridge, rice porridge made of only white rice and water	{粥状:ジュクジョウ} arthero-, atheromatous, gruel-like, porridge-like<br/>{粥状硬化:ジュクジョウコウカ} atherosclerosis, atherosclerotic<br/>{糜粥:ビジュク} chyme	{粥:かゆ}<br/>{粥:かゆ}{掻:か}き{棒:ぼう}<br/>{粥:かゆ}{腹:ばら}<br/>{粥:かゆ}{柱:ばしら}<br/>{粥:かゆ}{杖:づえ}<br/>{粥:じゅく}{状:じょう}<br/>{粥:かゆ}{占:うら}<br/>{粥:じゅく}{状:じょう}{硬:こう}{化:か}
舘	16	2281			tongue 舌	｜ 个 口 宀 干	mansion, large building, palace	やかた, たて	カン			
銕	14	2282			metal, gold 金 (釒)	人 大 弓 金	iron, strong, solid, firm	くろがね	テツ			
鄒	13	2283			town (阝 right) 邑 (阝)	勹 屮 邦 艾	place name		スウ, シュ, シュウ			
蜷	14	2284			insect 虫	二 人 并 大 已 虫	an edible river snail	にな	ケン		Kun reading compounds<br/>{海蜷:うみにな} many-formed cerith (Batillaria multiformis)<br/>{細海蜷:ほそうみにな} Japanese false cerith (Batillaria cumingii)	
暉	13	2285	N1		sun, day 日	冖 日 車	shine, light	かが.やく	キ		{綺麗:キレイ} pretty, lovely, beautiful, fair, clean, clear, pure, tidy, neat, completely, entirely<br/>{夕暉:セッキ} rays of the setting sun<br/>{旭暉:キョッキ} rays of the rising sun	
捧	11	2286			hand 手 (扌龵)	一 ｜ 二 人 大 扎	lift up, give, offer, consecrate, sacrifice, dedicate	ささ.げる	ホウ	{捧げる:ささげる} to lift up, to hold up, to hold above eye level, to give, to offer, to consecrate, to devote, to sacrifice, to dedicate	{捧持:ホウジ} bearing, presenting, holding up (emperor's picture)<br/>{奉呈:ホウテイ} dedication, presentation, gift	{捧:ささ}げる<br/>{捧:ささ}げ{銃:つつ}<br/>{捧:ほう}{物:もつ}<br/>{捧:ささ}げ{物:もの}<br/>{捧:ささ}ぐ<br/>{捧:ほう}{持:じ}<br/>{捧:ささ}げ{持:も}つ
頒	13	2287	N1	junior high	leaf 頁	ハ 刀 目 貝 頁	distribute, disseminate, partition, understand	わ.かつ, わ.ける	ハン		{頒布:ハンプ} distribution, circulation<br/>{頒価:ハンカ} distribution price	{頒:はん}{布:ぷ}<br/>{頒:はん}{布:ぷ}{会:かい}<br/>{頒:はん}{価:か}<br/>{頒:はん}{布:ぷ}{権:けん}<br/>{頒:はん}{行:こう}
只	5	2288	N1		mouth, opening 口	ハ 口	only, free, in addition	ただ	シ	{只:ただ} ordinary, common, usual, free of charge, unaffected, as is, safe, only, merely, just, simply, but, however, nevertheless<br/>{ただ今:ただいま} Here I am, I'm home!, presently, right away, right now, just now	{只管打坐:シカンタザ} shikantaza, meditation practice where one stays intensely focused without focusing on any particular object<br/>{只今:シコン} just now	{只:ただ}<br/>{只管:ひたすら}<br/>{只:ただ}{々:ただ}<br/>{只:ただ}{者:もの}<br/>{只:ただ}ならない<br/>{只:ただ}{取:と}り<br/>{只管打坐:しかんたざ}<br/>{只:し}{今:こん}
肢	8	2289	N1	junior high	meat 肉 (⺼)	十 又 支 月	limb, arms & legs		シ		{肢体不自由児:シタイフジユウジ} physically handicapped child<br/>{肢体:シタイ} limbs, members, body<br/>{四肢:シシ} limbs, extremities<br/>{下肢:カシ} lower limbs, legs	{肢:し}{体:たい}<br/>{肢:し}{体:たい}{不:ふ}{自:じ}{由:ゆう}{児:じ}<br/>{肢:し}{体:たい}{不:ふ}{自:じ}{由:ゆう}{者:しゃ}<br/>{肢:し}{帯:たい}
箏	14	2290			bamboo 竹 (⺮)	亅 ヨ 爪 竹 乞	a koto	こと	ソウ, ショウ	{琴:こと} koto (13-stringed Japanese zither), stringed instrument, zheng (Chinese zither), guzheng<br/>{琴柱:ことじ} bridge of a koto	{琴:コト} koto (13-stringed Japanese zither), stringed instrument, zheng (Chinese zither), guzheng<br/>{箏曲:ソウキョク} koto music<br/>{楽箏:ガクソウ} ancient type of koto with 13 strings used in Gagaku music<br/>{俗箏:ゾクソウ} modern koto (in contrast to the gagaku koto or gakuso), modern koto music	{箏:そう}{曲:きょく}<br/>{箏:そう}{曲:きょく}{家:か}<br/>{箏:そう}の{琴:こと}
檀	17	2291	N1		tree 木	一 亠 口 日 木	cedar, sandlewood, spindle tree	まゆみ	ダン, タン	{小檀:こまゆみ} spindle tree, euonymus alatus f. ciliatodentatus	{旦那:ダンナ} master (of a house, shop, etc.), husband, sir, boss, master, governor, patron of a mistress, geisha, bar or nightclub hostess, sugar daddy, alms, almsgiving, almsgiver<br/>{檀越:ダンオツ} alms-giver, person who donates to a monk or a temple, dana-pati<br/>{阿檀:アダン} umbrella tree (Pandanus odorifer), fragrant screw pine, kewda<br/>{白檀:ビャクダン} Indian sandalwood (Santalum album), white sandalwood<br/>{黒檀:コクタン} ebony<br/>{紫檀:シタン} rosewood, red sandalwood	{檀:だん}{君:くん}<br/>{檀:だん}{尻:じり}<br/>{檀:だん}{那:な}{寺:でら}<br/>{檀:だん}{徒:と}<br/>{檀:だん}{林:りん}<br/>{檀:だん}{家:か}<br/>{檀:だん}{越:おつ}
鵠	18	2292			bird 鳥	ノ 口 土 杰 鳥	swan	くぐい, まと	コク, コウ	{鵠:くぐい} swan	{正鵠:セイコク} bull's-eye, mark, point<br/>{鴻鵠:コウコク} giant bird, great person, magnanimous person, hero<br/>{正鵠:セイコク} bull's-eye, mark, point	{鵠:くぐい}<br/>{鵠:こく}
